symbol,close,delivery_pct,volume,turnover,Score,Label
MANORAMA,1435.0,54.37,45217,64886395.0,1,⚪ Neutral
GRINDWELL,1669.2,87.69,38759,64696522.800000004,1,⚪ Neutral
NIFTY1,280.87,88.13,225767,63411177.29,1,⚪ Neutral
COSMOFIRST,704.6,50.26,89828,63292808.800000004,1,⚪ Neutral
GMMPFAUDLR,968.0,63.24,64811,62737048.0,1,⚪ Neutral
ZYDUSWELL,385.0,59.72,162847,62696095.0,1,⚪ Neutral
JAYKAY,142.5,76.11,439519,62631457.5,1,⚪ Neutral
AIIL,488.95,53.23,123957,60608775.15,1,⚪ Neutral
ITIETF,33.71,66.04,1796248,60551520.08,1,⚪ Neutral
INDIASHLTR,732.0,68.07,81836,59903952.0,1,⚪ Neutral
KHADIM,122.5,56.69,488452,59835370.0,1,⚪ Neutral
HDFCNIFIT,32.48,91.73,1831618,59490952.63999999,1,⚪ Neutral
ACMESOLAR,235.08,50.28,250991,59002964.28,1,⚪ Neutral
CASHIETF,1051.16,83.5,55915,58775611.400000006,1,⚪ Neutral
SBFC,97.0,55.25,604888,58674136.0,1,⚪ Neutral
JASH,396.45,75.68,147053,58299161.85,1,⚪ Neutral
NIFTYETF,275.77,80.94,209466,57764438.81999999,1,⚪ Neutral
CERA,4943.4,73.67,11681,57743855.4,1,⚪ Neutral
BBTC,1723.9,61.73,33486,57726515.400000006,1,⚪ Neutral
SMALLCAP,42.3,55.62,1357473,57421107.9,1,⚪ Neutral
MEDPLUS,851.0,68.13,66888,56921688.0,1,⚪ Neutral
GROWWGOLD,15.35,57.98,3685468,56571933.8,1,🔴 Flagged (Unsafe)
V2RETAIL,1985.0,51.21,27919,55419215.0,1,⚪ Neutral
DELTACORP,62.26,66.76,888430,55313651.8,1,⚪ Neutral
GODREJAGRO,620.15,53.79,88327,54775989.05,1,⚪ Neutral
SAMBHV,100.72,66.84,541798,54569894.56,1,⚪ Neutral
POLYPLEX,842.0,53.77,63946,53842532.0,1,⚪ Neutral
GOLDADD,154.57,59.71,346897,53619869.29,1,⚪ Neutral
GENUSPOWER,263.6,57.06,202771,53450435.6,1,⚪ Neutral
HNGSNGBEES,533.97,61.03,99600,53183412.0,1,⚪ Neutral
