symbol,series,DATE1,prev_close,open,high,low,LAST_PRICE,close,AVG_PRICE,volume,TURNOVER_LACS,NO_OF_TRADES,delivery_qty,delivery_pct,date
HARIOMPIPE,EQ,24-Feb-2026,371.3,370.0,371.95,364.7,367.55,368.55,367.42,44164,162.27,2054,20190,45.72,2026-02-24
HARRMALAYA,EQ,24-Feb-2026,182.12,177.0,196.62,177.0,190.0,191.13,190.42,60177,114.59,1951,24630,40.93,2026-02-24
HARSHA,EQ,24-Feb-2026,369.15,368.05,371.5,363.7,364.0,365.95,366.42,20534,75.24,1165,12558,61.16,2026-02-24
HATHWAY,EQ,24-Feb-2026,10.97,10.85,10.93,10.6,10.75,10.7,10.78,2024611,218.17,3683,911686,45.03,2026-02-24
HATSUN,EQ,24-Feb-2026,904.7,896.5,911.15,890.3,893.0,895.05,900.53,14358,129.3,1885,7342,51.14,2026-02-24
HAVELLS,EQ,24-Feb-2026,1412.8,1410.0,1417.8,1392.6,1400.1,1403.8,1403.64,273019,3832.19,20522,126852,46.46,2026-02-24
HAVISHA,EQ,24-Feb-2026,1.64,1.68,1.68,1.61,1.65,1.65,1.65,6158,0.1,69,4644,75.41,2026-02-24
HBLENGINE,EQ,24-Feb-2026,705.5,706.95,709.9,694.1,704.0,700.55,701.34,879976,6171.6,26130,348499,39.6,2026-02-24
HBSL,EQ,24-Feb-2026,62.44,63.0,63.0,60.61,60.66,61.4,62.68,1955,1.23,29,1889,96.62,2026-02-24
HCC,EQ,24-Feb-2026,18.5,18.5,18.55,17.96,18.32,18.17,18.22,18542271,3378.52,17076,8489678,45.79,2026-02-24
HCG,EQ,24-Feb-2026,592.7,584.35,590.0,580.1,582.1,584.7,583.98,59359,346.64,5362,28835,48.58,2026-02-24
HCL-INSYS,EQ,24-Feb-2026,12.91,12.96,13.82,12.91,13.15,13.04,13.32,801518,106.8,2769,543531,67.81,2026-02-24
HCLTECH,EQ,24-Feb-2026,1426.2,1402.3,1406.7,1322.5,1343.0,1339.2,1346.66,10004684,134729.35,262757,5583981,55.81,2026-02-24
HDBFS,EQ,24-Feb-2026,719.3,715.0,723.95,712.75,718.9,717.0,717.8,198056,1421.65,9689,117475,59.31,2026-02-24
HDFCAMC,EQ,24-Feb-2026,2726.8,2719.8,2727.9,2666.5,2691.0,2681.4,2691.34,654112,17604.4,42437,375706,57.44,2026-02-24
HDFCBANK,EQ,24-Feb-2026,923.6,927.95,927.95,909.15,911.5,910.5,915.33,31313985,286625.1,298283,16994295,54.27,2026-02-24
HDFCBSE500,EQ,24-Feb-2026,37.74,37.56,37.56,37.13,37.46,37.3,37.28,33779,12.59,313,22301,66.02,2026-02-24
HDFCGOLD,EQ,24-Feb-2026,134.2,130.84,136.0,130.84,135.64,135.45,135.24,7076532,9570.17,19578,3730540,52.72,2026-02-24
HDFCGROWTH,EQ,24-Feb-2026,120.43,120.43,122.5,118.46,119.15,119.65,118.95,25845,30.74,487,22832,88.34,2026-02-24
HDFCLIFE,EQ,24-Feb-2026,742.45,740.1,742.8,730.15,740.0,734.75,735.61,1919196,14117.83,59401,1238486,64.53,2026-02-24
HDFCLIQUID,EQ,24-Feb-2026,1049.4,1049.53,1049.53,1049.49,1049.49,1049.49,1049.53,177657,1864.56,56,171387,96.47,2026-02-24
HDFCLOWVOL,EQ,24-Feb-2026,21.25,21.85,21.85,21.04,21.64,21.08,21.14,28093,5.94,129,15223,54.19,2026-02-24
HDFCMID150,EQ,24-Feb-2026,22.09,22.34,22.34,21.85,22.15,22.08,21.99,439825,96.71,2092,210941,47.96,2026-02-24
HDFCMOMENT,EQ,24-Feb-2026,31.85,31.94,31.94,31.55,31.78,31.74,31.67,147733,46.79,678,98392,66.6,2026-02-24
HDFCNEXT50,EQ,24-Feb-2026,70.81,70.81,71.33,70.42,71.04,70.99,70.89,76690,54.36,543,60829,79.32,2026-02-24
HDFCNIF100,EQ,24-Feb-2026,27.19,27.32,27.32,26.8,26.97,26.91,26.9,111508,30.0,489,65390,58.64,2026-02-24
HDFCNIFBAN,EQ,24-Feb-2026,62.85,62.59,62.99,62.36,62.52,62.63,62.72,58234,36.53,483,47623,81.78,2026-02-24
HDFCNIFIT,EQ,24-Feb-2026,33.5,33.66,33.66,31.72,31.98,31.94,32.13,1261243,405.24,2811,907539,71.96,2026-02-24
HDFCNIFTY,EQ,24-Feb-2026,287.48,288.14,288.14,284.02,285.06,284.93,285.24,122466,349.33,5068,99398,81.16,2026-02-24
HDFCPSUBK,EQ,24-Feb-2026,98.79,101.25,101.25,98.24,99.95,99.11,98.97,66679,65.99,415,28866,43.29,2026-02-24
HDFCPVTBAN,EQ,24-Feb-2026,29.46,29.55,29.55,29.27,29.28,29.32,29.37,59894,17.59,389,40015,66.81,2026-02-24
HDFCQUAL,EQ,24-Feb-2026,58.17,58.1,58.1,57.2,57.62,57.54,57.49,28657,16.48,326,25760,89.89,2026-02-24
HDFCSENSEX,EQ,24-Feb-2026,93.92,93.0,93.75,92.53,93.75,92.85,92.93,61794,57.42,926,38009,61.51,2026-02-24
HDFCSILVER,EQ,24-Feb-2026,250.96,252.92,253.48,248.07,251.0,250.61,250.82,7230835,18136.16,34344,1890286,26.14,2026-02-24
HDFCSML250,EQ,24-Feb-2026,161.37,161.37,161.49,159.22,160.5,160.15,159.99,1589439,2542.89,12851,959108,60.34,2026-02-24
HDFCVALUE,EQ,24-Feb-2026,138.24,137.25,137.3,136.09,136.7,136.3,136.61,4411,6.03,144,2261,51.26,2026-02-24
HEADSUP,EQ,24-Feb-2026,7.99,7.99,8.1,7.88,7.9,7.91,7.92,3670,0.29,77,2722,74.17,2026-02-24
HEALTHADD,EQ,24-Feb-2026,147.25,147.38,148.15,147.09,147.46,147.43,147.92,6183,9.15,35,5854,94.68,2026-02-24
HEALTHCARE,EQ,24-Feb-2026,18.6,18.59,18.66,18.5,18.66,18.62,18.57,11432,2.12,70,6674,58.38,2026-02-24
HEALTHIETF,EQ,24-Feb-2026,150.24,150.42,150.74,149.26,150.69,150.4,150.01,53841,80.77,1285,33268,61.79,2026-02-24
HEALTHY,EQ,24-Feb-2026,15.0,15.37,15.37,14.62,15.02,15.04,15.01,166949,25.06,930,129849,77.78,2026-02-24
HECPROJECT,EQ,24-Feb-2026,116.61,117.51,119.49,113.04,114.55,115.99,115.92,9800,11.36,662,4601,46.95,2026-02-24
HEG,EQ,24-Feb-2026,554.65,555.0,573.7,550.95,566.0,564.75,565.05,3540765,20007.02,67196,934466,26.39,2026-02-24
HEIDELBERG,EQ,24-Feb-2026,164.04,163.0,167.95,162.66,167.94,167.36,165.74,137000,227.07,1928,78507,57.3,2026-02-24
HEMIPROP,EQ,24-Feb-2026,143.03,142.0,143.1,140.71,141.0,141.39,141.6,231507,327.8,2396,111473,48.15,2026-02-24
